# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 8.773701926169799E-001 -1.779286195876001E+002 -6.229857356882604E+000 -1.479764004420707E+002 -9.665381188661137E+000 -1.712321062193240E+002 -1.204789287633032E+000 -6.155324289612174E+001 
1.720445000000000E+009 1.045349485099430E+000 -1.734790415506251E+002 -6.099900982706368E+000 -1.446057053451503E+002 -9.291882363984493E+000 -1.694403895286390E+002 -8.186925538178534E-001 -6.329126970974893E+001 
1.720890000000000E+009 1.206812181950603E+000 -1.721416538812639E+002 -6.242911310605231E+000 -1.417113937754688E+002 -9.834352710427892E+000 -1.701508756486300E+002 -1.353421348296537E+000 -6.398212210917068E+001 
1.721335000000000E+009 9.764159906493882E-001 -1.754211249412447E+002 -6.307021635333911E+000 -1.463101009864547E+002 -9.309412118543520E+000 -1.701900611687375E+002 -9.002096885770946E-001 -6.378129907455455E+001 
1.721780000000000E+009 1.143834133246297E+000 -1.729442464632067E+002 -6.423708699141685E+000 -1.450153014259908E+002 -9.610892571305357E+000 -1.705870488139059E+002 -1.143751093380534E+000 -6.475185261888358E+001 
1.722225000000000E+009 1.437380885950096E+000 -1.678303156746341E+002 -6.020020420113857E+000 -1.372555687870477E+002 -9.044149928908654E+000 -1.655693385083666E+002 -6.061048698898369E-001 -6.520464677113897E+001 
1.722670000000000E+009 1.221536698083229E+000 -1.711697712928055E+002 -6.256307068801757E+000 -1.419209978570951E+002 -9.771029472946339E+000 -1.667419334466817E+002 -1.223292594638531E+000 -6.498351349842902E+001 
1.723115000000000E+009 1.188071512813806E+000 -1.731895611065403E+002 -6.285726469778536E+000 -1.449319693755838E+002 -9.072641805544370E+000 -1.694241370606600E+002 -7.177486688459952E-001 -6.823535573032018E+001 
1.723560000000000E+009 1.110356072635805E+000 -1.752320967121881E+002 -6.578002132249785E+000 -1.426597286703290E+002 -9.809553392507882E+000 -1.663684734241309E+002 -1.051179455048968E+000 -6.405239642665444E+001 
1.724005000000000E+009 1.321220546360246E+000 -1.721336029565642E+002 -5.970915024006771E+000 -1.389463861527752E+002 -9.876441740139923E+000 -1.634659872480997E+002 -1.250889137407536E+000 -6.312499393022316E+001 
1.724450000000000E+009 1.455175695274451E+000 -1.728910682773781E+002 -6.040126617746966E+000 -1.376688570390283E+002 -9.759544038258451E+000 -1.631234121717149E+002 -1.193604000053159E+000 -6.209632166029284E+001 
1.724895000000000E+009 1.404139291241218E+000 -1.715770289970396E+002 -6.155986758198575E+000 -1.407747275975778E+002 -9.519177839806881E+000 -1.664983389108752E+002 -8.963760117694077E-001 -6.612193022835758E+001 
1.725340000000000E+009 1.358513507668817E+000 -1.710404690373393E+002 -6.179378961370727E+000 -1.388913453689033E+002 -9.723987142933597E+000 -1.616899574737683E+002 -1.035426257401728E+000 -6.243198333708949E+001 
1.725785000000000E+009 1.401544990758963E+000 -1.712983225596800E+002 -6.611118975033802E+000 -1.381447795976453E+002 -9.806127505189844E+000 -1.623458252540745E+002 -1.176122758320521E+000 -6.461764427894579E+001 
1.726230000000000E+009 1.401977775414845E+000 -1.701716131870319E+002 -6.095225668645704E+000 -1.386154765707144E+002 -9.527966102976226E+000 -1.611027377818001E+002 -8.077112844814524E-001 -6.383382298224239E+001 
1.726675000000000E+009 1.368345445791111E+000 -1.722966768682211E+002 -6.286370044833633E+000 -1.374451059799999E+002 -1.000687516133199E+001 -1.604583898298019E+002 -1.104228477714123E+000 -6.253628869459789E+001 
1.727120000000000E+009 1.469648236036890E+000 -1.700680769053356E+002 -6.141944563156532E+000 -1.361712654681371E+002 -9.743939694511562E+000 -1.589739591434062E+002 -9.631904433918588E-001 -6.273209266838948E+001 
1.727565000000000E+009 1.581155654617009E+000 -1.732107835608558E+002 -5.897267131839646E+000 -1.394877976805489E+002 -9.811388775694438E+000 -1.577224849601620E+002 -1.029221611307448E+000 -6.370443922055394E+001 
1.728010000000000E+009 1.535920361464757E+000 -1.718405549535017E+002 -5.873045837185314E+000 -1.358492690022802E+002 -9.893755599806607E+000 -1.602535894429321E+002 -1.066555751950499E+000 -6.385731977566253E+001 
1.728455000000000E+009 1.777059041717119E+000 -1.683646611630774E+002 -5.932843762077765E+000 -1.347709034830508E+002 -9.246736486878621E+000 -1.573978414225551E+002 -6.312446199682135E-001 -6.563108152194343E+001 
1.728900000000000E+009 1.482500964246781E+000 -1.720537709187396E+002 -6.008413328702048E+000 -1.365193195406162E+002 -9.596047933954063E+000 -1.595730213676413E+002 -6.631507465866401E-001 -6.494079429592397E+001 
1.729345000000000E+009 1.617829100567506E+000 -1.702177531046203E+002 -6.543069618777190E+000 -1.355007996414465E+002 -9.994235372998110E+000 -1.567757577768030E+002 -1.101873829746002E+000 -6.452205262299123E+001 
1.729790000000000E+009 1.599134833558996E+000 -1.702265357586036E+002 -6.153328348481066E+000 -1.337064986471857E+002 -9.641685478863959E+000 -1.541125977210994E+002 -7.055531317012647E-001 -6.377163783870371E+001 
1.730235000000000E+009 1.539946488120998E+000 -1.733282128043162E+002 -5.941530659207627E+000 -1.366898258342459E+002 -9.480110400300902E+000 -1.550760257298962E+002 -6.939990697318732E-001 -6.432538791720758E+001 
1.730680000000000E+009 1.702450268026941E+000 -1.704866144717340E+002 -5.822744891005917E+000 -1.308658076573283E+002 -9.657645598608859E+000 -1.524422015026266E+002 -6.776314415455601E-001 -6.258654825884462E+001 
1.731125000000000E+009 1.904205648151559E+000 -1.701713034029298E+002 -5.800111166640123E+000 -1.333019587783938E+002 -9.598973909179893E+000 -1.496392839135447E+002 -8.771036412303290E-001 -6.246475482354325E+001 
1.731570000000000E+009 1.577063243255294E+000 -1.708964402414287E+002 -5.827540550723380E+000 -1.320717205548102E+002 -9.726956988411690E+000 -1.546472992764499E+002 -7.312513972418214E-001 -6.471164410778854E+001 
1.732015000000000E+009 1.772165121248449E+000 -1.684352555922094E+002 -6.370668213532434E+000 -1.270981063771278E+002 -1.007082114577144E+001 -1.438091117220066E+002 -9.960042103744916E-001 -5.758529047023188E+001 
1.732460000000000E+009 1.304647871945641E+000 -1.748892512878710E+002 -6.793531785837869E+000 -1.369263967686644E+002 -9.956628477434590E+000 -1.502897838981036E+002 -7.373707879382645E-001 -6.303721593129968E+001 
1.732905000000000E+009 1.658132681658033E+000 -1.717982680233756E+002 -6.146050016444695E+000 -1.322003624561254E+002 -1.033959515669792E+001 -1.472929149019076E+002 -1.180664302537490E+000 -6.084430221602649E+001 
1.733350000000000E+009 1.571453696735021E+000 -1.713214011343881E+002 -6.016605760338487E+000 -1.333998456638968E+002 -9.548474775018583E+000 -1.579721782440569E+002 -5.213149557376885E-001 -6.755181296578250E+001 
1.733795000000000E+009 1.525550326640269E+000 -1.707795558763723E+002 -6.698330663868183E+000 -1.310786319698690E+002 -9.938436059938972E+000 -1.542558580458837E+002 -8.354261746572661E-001 -6.628446333823185E+001 
1.734240000000000E+009 1.597106941753817E+000 -1.745352101053201E+002 -5.904975796348555E+000 -1.311533263475670E+002 -1.007993881506884E+001 -1.459248701751271E+002 -9.160731510815028E-001 -5.956586763695121E+001 
1.734685000000000E+009 1.646283360488555E+000 -1.736167782142076E+002 -5.919359909080623E+000 -1.296925052110300E+002 -1.011178254296861E+001 -1.508067491682610E+002 -9.237214736730048E-001 -6.286751517871030E+001 
1.735130000000000E+009 1.852900821819030E+000 -1.707058718193751E+002 -5.408653393286802E+000 -1.259275803207191E+002 -9.838114205527804E+000 -1.432457351899927E+002 -7.642846585531563E-001 -5.812988510911931E+001 
1.735575000000000E+009 2.171128309845987E+000 -1.651433196113359E+002 -5.840624137282685E+000 -1.248780371898594E+002 -9.767351007932421E+000 -1.434370632258103E+002 -9.229958529067712E-001 -6.381892975662548E+001 
1.736020000000000E+009 1.677628919225334E+000 -1.702089368293150E+002 -6.393278803259052E+000 -1.287607913039455E+002 -9.964225546982071E+000 -1.451755711883709E+002 -7.869755573592163E-001 -6.243368285876939E+001 
1.736465000000000E+009 2.125930627085465E+000 -1.676422532595770E+002 -5.284206744467889E+000 -1.237812619048852E+002 -9.470732020563679E+000 -1.410561253573166E+002 -4.871485256451900E-001 -6.182339349664203E+001 
1.736910000000000E+009 1.852752053778246E+000 -1.701613100607774E+002 -5.890012138835661E+000 -1.247849032128937E+002 -9.926278226137528E+000 -1.402309079346921E+002 -9.298803561093394E-001 -5.835085804409393E+001 
1.737355000000000E+009 1.709410415685880E+000 -1.724259373669510E+002 -6.052392927518720E+000 -1.289624612107495E+002 -9.813829443975678E+000 -1.449113889792536E+002 -7.229149547080602E-001 -6.360524558504524E+001 
1.737800000000000E+009 1.785033157246794E+000 -1.705939487935792E+002 -6.178028266776510E+000 -1.275903143883901E+002 -1.011608422596755E+001 -1.434917433419045E+002 -1.055835434977288E+000 -6.145240144814649E+001 
1.738245000000000E+009 2.228894734042457E+000 -1.669230076959038E+002 -5.659747297215204E+000 -1.222321996778594E+002 -9.601103818449461E+000 -1.398728165197504E+002 -7.376046516308134E-001 -6.141466047610990E+001 
1.738690000000000E+009 2.006049564595773E+000 -1.699843660704408E+002 -5.639941270374814E+000 -1.239477208842260E+002 -9.581734822681574E+000 -1.379653328409991E+002 -6.527314122166041E-001 -5.997162135546576E+001 
1.739135000000000E+009 2.028642518607905E+000 -1.681626663542460E+002 -5.689651982612120E+000 -1.206854612297123E+002 -9.739714951965356E+000 -1.378873228559079E+002 -6.141502676947058E-001 -6.181040833965610E+001 
1.739580000000000E+009 2.064841422743481E+000 -1.701313965372479E+002 -5.482911977179282E+000 -1.202935327540047E+002 -9.285812651921777E+000 -1.368095221522656E+002 -4.115043768716239E-001 -6.017304462230397E+001 
1.740025000000000E+009 1.854678786842754E+000 -1.694353236814681E+002 -6.363088317154793E+000 -1.272255815717822E+002 -9.912011264437524E+000 -1.393941561296381E+002 -9.332347543642391E-001 -6.325310663313628E+001 
1.740470000000000E+009 2.118106820146272E+000 -1.665231204467482E+002 -5.559764704859476E+000 -1.212011644608742E+002 -9.475305746782697E+000 -1.322405990091821E+002 -6.620901652858531E-001 -5.862075041269693E+001 
1.740915000000000E+009 2.172710125078412E+000 -1.681026788316682E+002 -5.398326846888010E+000 -1.176360908086004E+002 -9.169370584127190E+000 -1.315056488544013E+002 -3.085262492516404E-001 -6.021940975212615E+001 
1.741360000000000E+009 2.237370841595340E+000 -1.646491280345738E+002 -5.297912418613151E+000 -1.153938596613025E+002 -9.561095432034472E+000 -1.265453932647491E+002 -7.025524089115323E-001 -5.596237323620054E+001 
1.741805000000000E+009 2.102974605100317E+000 -1.680419786468076E+002 -5.655661992054264E+000 -1.194323116848036E+002 -9.871671850787015E+000 -1.367101388853865E+002 -8.702291614804273E-001 -6.300724822803093E+001 
1.742250000000000E+009 1.717736572579503E+000 -1.717526911272110E+002 -6.193214462815241E+000 -1.241100895487089E+002 -1.003793892348650E+001 -1.336216780333482E+002 -9.788303592509278E-001 -6.014689418144243E+001 
1.742695000000000E+009 2.013254305030306E+000 -1.672839460611588E+002 -5.846643125344048E+000 -1.180676174161344E+002 -9.714974856979200E+000 -1.265631293612924E+002 -9.122209141047266E-001 -5.885969174158227E+001 
1.743140000000000E+009 2.116734206712381E+000 -1.669374180341434E+002 -5.774916944940893E+000 -1.174850532811505E+002 -9.826565435751649E+000 -1.365223604686486E+002 -9.052899878288893E-001 -6.488115475004098E+001 
1.743585000000000E+009 1.963486897827238E+000 -1.694853898525839E+002 -5.763227459061006E+000 -1.181801946499549E+002 -9.671621838566066E+000 -1.274709959349424E+002 -7.216750635272330E-001 -5.795289381823969E+001 
1.744030000000000E+009 2.199571066018430E+000 -1.688580855837476E+002 -5.144684278887549E+000 -1.163053351262254E+002 -9.210392016847889E+000 -1.313350013959476E+002 -3.115962410231202E-001 -6.010372896977490E+001 
1.744475000000000E+009 2.428227997400633E+000 -1.658806655341265E+002 -5.433999464026353E+000 -1.157385967787121E+002 -9.544851272927247E+000 -1.253463853695643E+002 -9.867295354846134E-001 -5.930514451531118E+001 
1.744920000000000E+009 2.039056796170613E+000 -1.684867283771762E+002 -6.001901346537623E+000 -1.206058301828548E+002 -9.493435485323033E+000 -1.364308735623887E+002 -5.269577133255899E-001 -6.857127987906087E+001 
1.745365000000000E+009 2.445228675829948E+000 -1.649836863152956E+002 -5.057988097738733E+000 -1.152513978013098E+002 -9.406317249360074E+000 -1.277435875878932E+002 -6.912522241017856E-001 -6.090678676020079E+001 
1.745810000000000E+009 2.251899751992765E+000 -1.650076823847778E+002 -5.565263870254269E+000 -1.135510572987338E+002 -9.393252877049896E+000 -1.266458481197315E+002 -6.801230007039965E-001 -6.309136823836461E+001 
1.746255000000000E+009 2.355558234678451E+000 -1.657935112479951E+002 -5.357736112308292E+000 -1.125401711624812E+002 -9.295881202314540E+000 -1.260407429750357E+002 -7.918325145875046E-001 -5.942901633533229E+001 
1.746700000000000E+009 2.566060191871039E+000 -1.628119403921247E+002 -5.074352521181346E+000 -1.114861277956173E+002 -9.422380323728730E+000 -1.281387238212848E+002 -9.143184580490072E-001 -6.353615943982484E+001 
1.747145000000000E+009 2.455826142501137E+000 -1.638805131982447E+002 -5.240397884980925E+000 -1.100136259483387E+002 -9.775422492165152E+000 -1.212982421154833E+002 -1.336330192966543E+000 -5.982922775755305E+001 
1.747590000000000E+009 2.659933792683248E+000 -1.611538006261955E+002 -4.965609054822071E+000 -1.089333834572118E+002 -8.997948525792760E+000 -1.182917338933433E+002 -7.572302345374390E-001 -5.973795139608433E+001 
1.748035000000000E+009 2.538944531044912E+000 -1.639506258946544E+002 -5.021087578487204E+000 -1.096028289899791E+002 -9.472654177166307E+000 -1.218699334006241E+002 -1.181090646861473E+000 -6.145780487757399E+001 
1.748480000000000E+009 2.500428311877273E+000 -1.669761691129162E+002 -5.004096288133304E+000 -1.098018453130047E+002 -8.721243266092952E+000 -1.184145681639784E+002 -6.127807701026937E-001 -5.802849433622058E+001 
