# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 -7.918273362645559E+000 8.938262912700733E+001 -3.952031693102977E+000 7.610022150234154E+001 -3.764591819078640E+000 7.775573524846189E+001 -1.614889252770339E+001 5.455924592355625E+000 
1.720445000000000E+009 -8.158519144352985E+000 8.972570049964035E+001 -3.970472623120724E+000 7.635528700165253E+001 -3.759619287644031E+000 7.739020596313003E+001 -1.614982873992396E+001 5.009433844845126E+000 
1.720890000000000E+009 -8.315795231100616E+000 8.648717734404639E+001 -3.951263695830984E+000 7.544406984492781E+001 -3.797980243939358E+000 7.326340342711194E+001 -1.575144616032704E+001 4.741382962833366E+000 
1.721335000000000E+009 -7.577655640049676E+000 9.090812176397128E+001 -3.957854424358367E+000 7.347146725131664E+001 -3.650428341520200E+000 7.768302951100073E+001 -1.627736374459359E+001 2.298655538349406E+000 
1.721780000000000E+009 -8.103615721745461E+000 8.860123668812099E+001 -3.977984423584358E+000 7.495226466166486E+001 -3.711702489792936E+000 7.516878076335509E+001 -1.634459501599219E+001 2.934742554176943E+000 
1.722225000000000E+009 -8.184758872321741E+000 8.578178414288007E+001 -3.991675754826953E+000 7.508028267583381E+001 -3.730079713495415E+000 7.280432806426668E+001 -1.618736341021993E+001 1.216972116930716E+000 
1.722670000000000E+009 -8.328587171687428E+000 8.805801483243504E+001 -3.989851354232665E+000 7.347625312317527E+001 -3.828105426997860E+000 7.376372913586395E+001 -1.669346011773538E+001 2.361390609473062E+000 
1.723115000000000E+009 -8.455939241837092E+000 8.763809447898635E+001 -3.983110524911550E+000 7.595134768007623E+001 -3.812904320249734E+000 7.188223206482560E+001 -1.627772096574422E+001 2.804141232548526E+000 
1.723560000000000E+009 -8.034256514183449E+000 8.658290619257743E+001 -3.991596753369417E+000 7.384993280892567E+001 -3.714915459243019E+000 7.134008721897773E+001 -1.660316588047267E+001 2.767419941947666E+000 
1.724005000000000E+009 -8.189912895845666E+000 8.630499695428581E+001 -3.990318034474839E+000 7.441440794811467E+001 -3.856807578296657E+000 7.262687026367019E+001 -1.693621210159056E+001 1.308311029660910E+000 
1.724450000000000E+009 -8.349718286747500E+000 8.504865855767831E+001 -3.963626188166239E+000 7.104888891760615E+001 -3.782525977171051E+000 7.029111939460246E+001 -1.667936081573507E+001 5.495899636862159E+000 
1.724895000000000E+009 -8.451618302599846E+000 8.612574084824524E+001 -4.020054927141977E+000 7.282968981400261E+001 -3.867990897498640E+000 7.065633804565648E+001 -1.667248398480685E+001 2.665872890546249E+000 
1.725340000000000E+009 -8.183062616996734E+000 8.682902586948623E+001 -3.994336668491913E+000 7.190950340905187E+001 -3.751578620215892E+000 7.014793932735117E+001 -1.699705402959796E+001 3.188509891871882E+000 
1.725785000000000E+009 -8.323470236748550E+000 8.847447938576970E+001 -3.996458146985784E+000 7.147014496828447E+001 -3.897137248334296E+000 6.935221281495306E+001 -1.690384145351163E+001 8.899941928408333E+000 
1.726230000000000E+009 -8.310687700841086E+000 8.591303726604464E+001 -3.998591912638121E+000 6.981311527355462E+001 -3.868935743952993E+000 7.014560730763732E+001 -1.715879970024930E+001 4.020421458712586E+000 
1.726675000000000E+009 -8.364123691422563E+000 8.653229355136661E+001 -4.026325231728010E+000 7.129929645123121E+001 -3.831055558205202E+000 6.847026240530646E+001 -1.754073070195974E+001 5.938656678356354E+000 
1.727120000000000E+009 -8.267437285928169E+000 8.720609997765351E+001 -4.019749032036257E+000 6.703356464447261E+001 -3.828934879212782E+000 6.944273071157456E+001 -1.732987200648671E+001 1.622154939217662E+000 
1.727565000000000E+009 -8.107045691544434E+000 8.790137848481207E+001 -4.046086883475780E+000 6.932515451277243E+001 -3.879205089761771E+000 6.946445277079245E+001 -1.777832362745806E+001 1.135984228680824E+000 
1.728010000000000E+009 -8.766774515438181E+000 8.105808751418921E+001 -4.005378454221762E+000 6.884616328692771E+001 -3.901908821105590E+000 6.687736926494057E+001 -1.765563248554702E+001 6.153284377332826E+000 
1.728455000000000E+009 -8.446151373606311E+000 8.163981148188599E+001 -3.995857517895472E+000 6.676242247824764E+001 -3.852464429438472E+000 6.876077864026497E+001 -1.783659013719876E+001 5.903602702323564E+000 
1.728900000000000E+009 -8.662792628183498E+000 8.370369748283558E+001 -4.059626131372233E+000 6.873043429879807E+001 -3.904152931240015E+000 6.641274409433808E+001 -1.794724768841630E+001 4.947535142633130E+000 
1.729345000000000E+009 -8.409845415308784E+000 8.474666652779800E+001 -4.027414145449773E+000 6.680411007390234E+001 -3.876528386705356E+000 6.455466649985257E+001 -1.788833305601022E+001 5.764228937147514E+000 
1.729790000000000E+009 -8.275480628571527E+000 8.481033450227352E+001 -4.032972311043077E+000 6.713398763932874E+001 -3.894323309737787E+000 6.612041543775189E+001 -1.833673433764459E+001 5.726275405099659E+000 
