# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S12 ang:Trc2_S12 db:Trc3_S21 ang:Trc3_S21 db:Trc4_S22 ang:Trc4_S22 
1.720000000000000E+009 5.428254262276415E+000 -4.212181148639812E+001 7.023202010435770E-001 -1.334345403413992E+002 6.926540002016360E-002 -1.067001386721329E+002 5.224610573332322E-001 1.608547350879005E+002 
1.720445000000000E+009 5.633469281529125E+000 -3.927309598055238E+001 1.047295957488828E+000 -1.268300441030594E+002 3.889354697940388E-001 -1.078424738852584E+002 8.790941097262295E-001 1.620090228569790E+002 
1.720890000000000E+009 5.278615282076142E+000 -3.812664024254204E+001 1.667445803951886E-001 -1.249884394954880E+002 3.507775219510487E-002 -1.062436280811130E+002 5.852470775380895E-001 1.629450563371998E+002 
1.721335000000000E+009 5.475204965781251E+000 -3.716094833910976E+001 4.229963629649144E-001 -1.239321616863244E+002 6.454417416126841E-002 -1.062604048187992E+002 6.502557927121082E-001 1.617293010978205E+002 
1.721780000000000E+009 5.662502371778047E+000 -3.763624374496283E+001 8.625684117458682E-001 -1.245134512993177E+002 3.996735733383905E-002 -1.022500214744139E+002 5.849952717848299E-001 1.644386208618181E+002 
1.722225000000000E+009 5.653759327334458E+000 -3.438408504785041E+001 8.527790225838519E-001 -1.182565895791878E+002 6.843361434322219E-002 -1.035392264285593E+002 6.545569119304487E-001 1.646228405066808E+002 
1.722670000000000E+009 5.519481209399591E+000 -3.414802784167818E+001 2.892043431653431E-001 -1.148297590689960E+002 3.529955476198464E-001 -1.031718280604843E+002 7.730990219136980E-001 1.669118292988880E+002 
1.723115000000000E+009 5.490435399966827E+000 -3.827225374312815E+001 4.622723089451839E-001 -1.188602256266479E+002 4.413162058874832E-002 -1.082421102520483E+002 6.811421418181943E-001 1.637194481780902E+002 
1.723560000000000E+009 5.527047882062468E+000 -3.270804179319739E+001 7.724435441915124E-001 -1.200022433882543E+002 -1.640917245241797E-001 -1.030684560719962E+002 6.192944375648622E-001 1.628883065376686E+002 
1.724005000000000E+009 5.454789666813931E+000 -3.633349896505723E+001 1.928858266662179E-001 -1.182227018099010E+002 -1.832645605777153E-001 -1.043326141411052E+002 4.037228681650582E-001 1.637822534521161E+002 
1.724450000000000E+009 5.570046129870551E+000 -3.691426912483650E+001 8.767093645731005E-001 -1.176269104128800E+002 -1.778266236460716E-001 -1.090179242128945E+002 5.307614359011026E-001 1.638665231165927E+002 
1.724895000000000E+009 5.193588451724474E+000 -3.357534446124568E+001 -1.257745888505503E-002 -1.148629872684391E+002 -5.065886510183623E-001 -1.027075376484843E+002 1.611658129303417E-001 1.671408543391092E+002 
